cluster,gene,rank,score,method,direction
clusterFour,LINC02446,1,0.015662925359538497,rawMAE,min
clusterFour,SGK1,2,0.021744934267717238,rawMAE,min
clusterFour,ACTN1,3,0.024361320415290745,rawMAE,min
clusterFour,SESN3,4,0.026660591591637372,rawMAE,min
clusterFour,AFG3L2,5,0.03077756871062775,rawMAE,min
clusterFour,AC007952.4,6,0.034443336035164994,rawMAE,min
clusterFour,MFSD12,7,0.03489047340691525,rawMAE,min
clusterFour,RNFT1,8,0.03963494659198425,rawMAE,min
clusterFour,USP12,9,0.03999256111254124,rawMAE,min
clusterFour,ANKRD55,10,0.042538514942403495,rawMAE,min
clusterFour,IRS2,11,0.04263275192936299,rawMAE,min
clusterFour,FHIT,12,0.043576320024204,rawMAE,min
clusterFour,ATF1,13,0.043634455842949,rawMAE,min
clusterFour,TSHZ2,14,0.045342816164035245,rawMAE,min
clusterFour,AREG,15,0.04785655665774275,rawMAE,min
clusterFour,RASA4,16,0.049299404638857756,rawMAE,min
clusterFour,MRPL37,17,0.0519436062216505,rawMAE,min
clusterFour,ARMH1,18,0.052401464151583005,rawMAE,min
clusterFour,CAPG,19,0.05274044837741124,rawMAE,min
clusterFour,CMAS,20,0.05625321716929874,rawMAE,min
clusterFour,HIST1H2BJ,21,0.056647557177481996,rawMAE,min
clusterFour,ABRAXAS1,22,0.05759633464114788,rawMAE,min
clusterFour,TBC1D4,23,0.058785066580148496,rawMAE,min
clusterFour,CRLS1,24,0.0597658308813585,rawMAE,min
clusterFour,LINC00402,25,0.059810008161435994,rawMAE,min
clusterFour,FLYWCH1,26,0.059890876289170746,rawMAE,min
clusterFour,DMAC1,27,0.06037182943264625,rawMAE,min
clusterFour,EPS15L1,28,0.06190851709333375,rawMAE,min
clusterFour,ANK3,29,0.062123853018722745,rawMAE,min
clusterFour,RUVBL1,30,0.06232809873807812,rawMAE,min
clusterFour,WDR55,31,0.06276525971102001,rawMAE,min
clusterFour,TIAM1,32,0.06315297795158975,rawMAE,min
clusterFour,UBR3,33,0.06343792402955775,rawMAE,min
clusterFour,ELAC2,34,0.0637234092637585,rawMAE,min
clusterFour,CDKN1A,35,0.06384278092997675,rawMAE,min
clusterFour,PFKL,36,0.06441313332712875,rawMAE,min
clusterFour,CDK11B,37,0.0645019420457495,rawMAE,min
clusterFour,AK5,38,0.065337148136736,rawMAE,min
clusterFour,SUPT3H,39,0.06544244358872199,rawMAE,min
clusterFour,KLHDC10,40,0.0655450334150545,rawMAE,min
clusterFour,AL499604.1,41,0.06562975301125926,rawMAE,min
clusterFour,HIST1H3A,42,0.0661967979062445,rawMAE,min
clusterFour,P4HTM,43,0.06744224834347601,rawMAE,min
clusterFour,SHMT2,44,0.067457814640798,rawMAE,min
clusterFour,DYNC1LI2,45,0.06752719960451639,rawMAE,min
clusterFour,CERS6,46,0.06809286856113525,rawMAE,min
clusterFour,TMEM101,47,0.06840016188999926,rawMAE,min
clusterFour,LINC-PINT,48,0.06849403384130776,rawMAE,min
clusterFour,KLF7,49,0.06861052560047574,rawMAE,min
clusterFour,RIC3,50,0.06861224489238188,rawMAE,min
clusterFour,ADTRP,51,0.06901405605419299,rawMAE,min
clusterFour,SGSM2,52,0.06918971921681175,rawMAE,min
clusterFour,MDS2,53,0.06963907376616374,rawMAE,min
clusterFour,CTBS,54,0.07080862100596114,rawMAE,min
clusterFour,TRAPPC4,55,0.07131018084580812,rawMAE,min
clusterFour,AC136475.3,56,0.071501825987233,rawMAE,min
clusterFour,PPFIA1,57,0.07175221792142099,rawMAE,min
clusterFour,ZNF12,58,0.07208477074988924,rawMAE,min
clusterFour,GRAMD1A,59,0.07208783706683249,rawMAE,min
clusterFour,RHOB,60,0.0722164136082665,rawMAE,min
clusterFour,MARCH2,61,0.072369496654587,rawMAE,min
clusterFour,FAM241A,62,0.07245553805012409,rawMAE,min
clusterFour,TMPO-AS1,63,0.07273130051116733,rawMAE,min
clusterFour,HINFP,64,0.07298588281602424,rawMAE,min
clusterFour,VIPR1,65,0.07350136861082099,rawMAE,min
clusterFour,ING1,66,0.07389565127530824,rawMAE,min
clusterFour,PPP1R3F,67,0.07395886951105925,rawMAE,min
clusterFour,CYTH2,68,0.07400477774463687,rawMAE,min
clusterFour,ZNF511,69,0.07405860969456189,rawMAE,min
clusterFour,TRNT1,70,0.07406010828788899,rawMAE,min
clusterFour,PGGT1B,71,0.074115115990324,rawMAE,min
clusterFour,UBE2K,72,0.074130777578728,rawMAE,min
clusterFour,RGMB,73,0.0743125565172135,rawMAE,min
clusterFour,NDUFB5,74,0.07440905069087975,rawMAE,min
clusterFour,PTER,75,0.07453715500119949,rawMAE,min
clusterFour,CDC16,76,0.074944835630995,rawMAE,min
clusterFour,TCEA3,77,0.0750433530472165,rawMAE,min
clusterFour,C6orf89,78,0.0751581583285035,rawMAE,min
clusterFour,ZNF593,79,0.075186651508021,rawMAE,min
clusterFour,EDA,80,0.075369356271502,rawMAE,min
clusterFour,ECHS1,81,0.07573531766338525,rawMAE,min
clusterFour,RAB3IP,82,0.0757599871621085,rawMAE,min
clusterFour,GRASP,83,0.07610353911031124,rawMAE,min
clusterFour,PBX4,84,0.0762335553109525,rawMAE,min
clusterFour,CCR7,85,0.07630865187164798,rawMAE,min
clusterFour,SATB1-AS1,86,0.07636870945537298,rawMAE,min
clusterFour,ZMYM1,87,0.07689866475198949,rawMAE,min
clusterFour,EFTUD2,88,0.0769564447422955,rawMAE,min
clusterFour,BX890604.2,89,0.0774030538748145,rawMAE,min
clusterFour,LINC00339,90,0.0776314737790185,rawMAE,min
clusterFour,SIKE1,91,0.07787033857555424,rawMAE,min
clusterFour,PASK,92,0.07792500860905974,rawMAE,min
clusterFour,PTPA,93,0.07792920997570425,rawMAE,min
clusterFour,SNN,94,0.0779988061434375,rawMAE,min
clusterFour,IFNGR2,95,0.07800224890357349,rawMAE,min
clusterFour,ZCCHC10,96,0.078168800681619,rawMAE,min
clusterFour,QARS,97,0.07824156438695075,rawMAE,min
clusterFour,TMCO4,98,0.07835529227558925,rawMAE,min
clusterFour,PHC1,99,0.079124656583473,rawMAE,min
clusterFour,FAM102B,100,0.07917571843632924,rawMAE,min
clusterFour,RASGRF2,101,0.07920841573476399,rawMAE,min
clusterFour,FBXO25,102,0.07955390707449712,rawMAE,min
clusterFour,TFAP4,103,0.07970676477304973,rawMAE,min
clusterFour,FABP5,104,0.079741099248742,rawMAE,min
clusterFour,SLC12A6,105,0.08036011200082138,rawMAE,min
clusterFour,TMIGD2,106,0.080526887233387,rawMAE,min
clusterFour,RELB,107,0.08056763415242274,rawMAE,min
clusterFour,IRF4,108,0.08077038168561312,rawMAE,min
clusterFour,VPS39,109,0.08099863193376501,rawMAE,min
clusterFour,NAALADL1,110,0.08129123753596924,rawMAE,min
clusterFour,RANBP9,111,0.08130843536731824,rawMAE,min
clusterFour,TSPAN18,112,0.08192432099235224,rawMAE,min
clusterFour,FAM207A,113,0.08192700219498524,rawMAE,min
clusterFour,HSD17B12,114,0.08194258438251983,rawMAE,min
clusterFour,GET4,115,0.08199610033677676,rawMAE,min
clusterFour,CCNC,116,0.08200060342461751,rawMAE,min
clusterFour,NRARP,117,0.08209326875625249,rawMAE,min
clusterFour,NVL,118,0.08232688339562749,rawMAE,min
clusterFour,HEBP1,119,0.08243517512538924,rawMAE,min
clusterFour,MRPS16,120,0.0824449719390125,rawMAE,min
clusterFour,DENND5A,121,0.08245431346848973,rawMAE,min
clusterFour,KCNQ1OT1,122,0.08251245162759449,rawMAE,min
clusterFour,BZW2,123,0.08253258348165275,rawMAE,min
clusterFour,SIPA1L1,124,0.08307941157161874,rawMAE,min
clusterFour,UBE4B,125,0.08338302074647148,rawMAE,min
clusterFour,EPHX2,126,0.0835125576035185,rawMAE,min
clusterFour,FAM153B,127,0.08358533148438149,rawMAE,min
clusterFour,RAB24,128,0.0836350593101805,rawMAE,min
clusterFour,GAK,129,0.0839250374536345,rawMAE,min
clusterFour,HACE1,130,0.08423286185832775,rawMAE,min
