cluster,gene,rank,score,method,direction
clusterThree,AP001372.2,1,0.0004199348882105488,rawMAE,min
clusterThree,NAB2,2,0.0006088913564473251,rawMAE,min
clusterThree,CNTROB,3,0.0010673325949434754,rawMAE,min
clusterThree,CTSL,4,0.001124100705074826,rawMAE,min
clusterThree,GPR55,5,0.001294491903781574,rawMAE,min
clusterThree,ITIH4,6,0.0013605541809296497,rawMAE,min
clusterThree,STARD9,7,0.001440923944294726,rawMAE,min
clusterThree,CPPED1,8,0.0014577366133059731,rawMAE,min
clusterThree,AF117829.1,9,0.0016326719993105246,rawMAE,min
clusterThree,CCDC120,10,0.0017012821606217504,rawMAE,min
clusterThree,CCDC51,11,0.0017589789943370984,rawMAE,min
clusterThree,MANBAL,12,0.0018724038619202243,rawMAE,min
clusterThree,C5orf34,13,0.0019706421964215508,rawMAE,min
clusterThree,AC009113.1,14,0.0019950293393594005,rawMAE,min
clusterThree,AC017083.1,15,0.0020627262131118745,rawMAE,min
clusterThree,NECTIN3,16,0.0020919329416246753,rawMAE,min
clusterThree,KCTD21-AS1,17,0.0021300323033132743,rawMAE,min
clusterThree,PER2,18,0.0021730071491239504,rawMAE,min
clusterThree,RHBDD3,19,0.0022010818730364007,rawMAE,min
clusterThree,BCL7A,20,0.0022105382636759003,rawMAE,min
clusterThree,PPP1R3D,21,0.002221592024907749,rawMAE,min
clusterThree,AC005562.1,22,0.0022524468736055993,rawMAE,min
clusterThree,AC026471.1,23,0.0022690836935826512,rawMAE,min
clusterThree,SLC66A1,24,0.0023278080241716497,rawMAE,min
clusterThree,ZNF280B,25,0.002366227628277224,rawMAE,min
clusterThree,ODF3B,26,0.002389815282343624,rawMAE,min
clusterThree,ABCA3,27,0.0024858949478219258,rawMAE,min
clusterThree,EXD2,28,0.002494573967872624,rawMAE,min
clusterThree,NOTCH2NLA,29,0.0025244603593202013,rawMAE,min
clusterThree,TIMELESS,30,0.002533145785411202,rawMAE,min
clusterThree,FMO4,31,0.0025713008828385734,rawMAE,min
clusterThree,AC002467.1,32,0.00257245035245195,rawMAE,min
clusterThree,L2HGDH,33,0.0026076093000695997,rawMAE,min
clusterThree,ALPK1,34,0.002629555577375051,rawMAE,min
clusterThree,SLC48A1,35,0.002652392452712775,rawMAE,min
clusterThree,AC005306.1,36,0.0027619213850372743,rawMAE,min
