cluster,gene,rank,score,method,direction
clusterTwo,SLC2A4RG,1,0.030006923157756972,rawMAE,min
clusterTwo,TMEM50A,2,0.03361228667149322,rawMAE,min
clusterTwo,CITED2,3,0.03694930812237227,rawMAE,min
clusterTwo,ATP8A1,4,0.03749949423806851,rawMAE,min
clusterTwo,RAB14,5,0.03845607052622577,rawMAE,min
clusterTwo,NOL7,6,0.04019237445339547,rawMAE,min
clusterTwo,ZC3H15,7,0.04037263927566349,rawMAE,min
clusterTwo,RAB5C,8,0.0405200824434498,rawMAE,min
clusterTwo,POLR1D,9,0.04094742766898172,rawMAE,min
clusterTwo,RNF126,10,0.04525780375032649,rawMAE,min
clusterTwo,SYNGR1,11,0.04719082458742974,rawMAE,min
clusterTwo,IKZF3,12,0.04743016142678228,rawMAE,min
clusterTwo,PRDX6,13,0.04796688959913074,rawMAE,min
clusterTwo,ARHGAP25,14,0.049390221885628256,rawMAE,min
clusterTwo,SNHG5,15,0.04949171043183873,rawMAE,min
clusterTwo,RNF216,16,0.05096998446436899,rawMAE,min
clusterTwo,HNRNPUL1,17,0.055523786300245494,rawMAE,min
clusterTwo,TUT4,18,0.05615383857333329,rawMAE,min
clusterTwo,LAMP1,19,0.05657857079744897,rawMAE,min
clusterTwo,SNRNP200,20,0.05707213439758347,rawMAE,min
clusterTwo,COPS9,21,0.05834938105090399,rawMAE,min
clusterTwo,REL,22,0.058593287347228525,rawMAE,min
clusterTwo,NR3C1,23,0.05978383765007598,rawMAE,min
clusterTwo,GPBP1,24,0.05992995560747325,rawMAE,min
clusterTwo,TC2N,25,0.06016661104222799,rawMAE,min
clusterTwo,S100A11,26,0.06074282120606448,rawMAE,min
clusterTwo,RSF1,27,0.06151487063259923,rawMAE,min
clusterTwo,CAPN2,28,0.06307917093155124,rawMAE,min
clusterTwo,RNPEPL1,29,0.06314971556004373,rawMAE,min
clusterTwo,RNPS1,30,0.06367748439071522,rawMAE,min
clusterTwo,PAPOLA,31,0.06388086867601525,rawMAE,min
clusterTwo,TRAPPC1,32,0.06391094170906952,rawMAE,min
clusterTwo,HLA-DRB1,33,0.06406898440656048,rawMAE,min
clusterTwo,JTB,34,0.06475305322643324,rawMAE,min
clusterTwo,BSG,35,0.06924323918252023,rawMAE,min
clusterTwo,MED15,36,0.06936560664783847,rawMAE,min
clusterTwo,PTRHD1,37,0.07230181045322623,rawMAE,min
clusterTwo,RASA3,38,0.07307443422773624,rawMAE,min
clusterTwo,EWSR1,39,0.07313010467304548,rawMAE,min
clusterTwo,PDIA6,40,0.07348249799821674,rawMAE,min
clusterTwo,PRPF40A,41,0.07575335878989373,rawMAE,min
clusterTwo,DIAPH1,42,0.07653802428997472,rawMAE,min
clusterTwo,VPS28,43,0.07657596093502525,rawMAE,min
clusterTwo,CIB1,44,0.07949561830977822,rawMAE,min
clusterTwo,CBX3,45,0.08088272654068923,rawMAE,min
clusterTwo,TAF1D,46,0.08116278396703172,rawMAE,min
clusterTwo,MYADM,47,0.082647809657517,rawMAE,min
clusterTwo,H2AFV,48,0.08365872876500197,rawMAE,min
clusterTwo,SNRPA,49,0.08421875882485225,rawMAE,min
clusterTwo,CDK17,50,0.08442082870418172,rawMAE,min
clusterTwo,SMARCE1,51,0.08443403693212524,rawMAE,min
clusterTwo,RAB29,52,0.08526778437691246,rawMAE,min
clusterTwo,UBL3,53,0.08546873146675424,rawMAE,min
clusterTwo,FRYL,54,0.08570915987811573,rawMAE,min
clusterTwo,IMP3,55,0.08575594164916327,rawMAE,min
clusterTwo,CCT4,56,0.08677975624838821,rawMAE,min
clusterTwo,NDUFA2,57,0.08694092878528623,rawMAE,min
clusterTwo,KANSL1-AS1,58,0.08696167464273999,rawMAE,min
clusterTwo,MCTP2,59,0.08705521014029047,rawMAE,min
clusterTwo,ARID1A,60,0.08728346417105998,rawMAE,min
clusterTwo,MFSD10,61,0.08799305335312149,rawMAE,min
clusterTwo,TMX4,62,0.088163499004078,rawMAE,min
clusterTwo,CPNE1,63,0.08826109957654199,rawMAE,min
clusterTwo,CDKN1B,64,0.08884228307213798,rawMAE,min
clusterTwo,CCT6A,65,0.08927336802212224,rawMAE,min
clusterTwo,TBCB,66,0.0915748565060395,rawMAE,min
clusterTwo,CCDC18-AS1,67,0.09170181750945325,rawMAE,min
clusterTwo,SH3BP5,68,0.09175584994334324,rawMAE,min
clusterTwo,MTPN,69,0.091952067564312,rawMAE,min
clusterTwo,FCRL3,70,0.09279400100583798,rawMAE,min
clusterTwo,UBE2B,71,0.09335024046286622,rawMAE,min
clusterTwo,DENND2D,72,0.09386787215940451,rawMAE,min
clusterTwo,COPS6,73,0.09420191520101848,rawMAE,min
clusterTwo,OSTF1,74,0.09529214257315524,rawMAE,min
